V;95.0;5321;
SHV;98.0;3599;
SH;83.0;2638;
SH;98.0;8038;
V;99.0;5361;
SHV;99.0;6359;
V;99.0;2798;
SH;99.0;2880;
SHV;100.0;1558;
V;99.0;6757;
SH;86.0;2823;
SHV;100.0;1555;
SH;97.0;3439;
V;100.0;7920;
SHV;99.0;4840;
V;95.0;2239;
SH;92.0;3000;
SHV;100.0;4121;
V;92.0;7356;
SHV;93.0;2994;
SH;90.0;2175;
SH;95.0;4013;
V;99.0;6147;
SHV;97.0;5985;
V;93.0;7298;
SH;87.0;2385;
SHV;96.0;4258;
SHV;96.0;2922;
V;100.0;4958;
SH;98.0;4117;
SHV;98.0;7279;
SH;97.0;12239;
V;98.0;3880;
SHV;98.0;3280;
SH;96.0;3439;
V;97.0;3082;
SHV;99.0;3120;
V;99.0;2319;
SH;73.0;1960;
SH;89.0;1638;
V;95.0;1439;
SHV;100.0;1441;
SH;96.0;1877;
SHV;99.0;2801;
V;99.0;2198;
SH;75.0;1598;
V;99.0;3480;
SHV;100.0;3039;
SHV;98.0;6681;
V;99.0;6481;
SH;99.0;1598;
V;92.0;2478;
SHV;96.0;1398;
SH;70.0;1319;
V;99.0;2080;
SHV;99.0;1799;
SH;84.0;2119;
V;92.0;7480;
SH;88.0;3957;
SHV;99.0;8482;
SH;83.0;1881;
SHV;99.0;5000;
V;99.0;2319;
V;99.0;3681;
SHV;99.0;2800;
SH;96.0;1999;
SH;73.0;5039;
V;99.0;4442;
SHV;91.0;3316;
